dateTime,uvLevel
2022-03-25 20:12:39.977315,2
2022-03-25 20:12:52.010945,0
2022-03-25 20:13:04.044415,2
2022-03-25 20:13:16.062762,1
2022-03-25 20:13:28.096431,1
2022-03-25 20:13:40.130215,0
2022-03-25 20:13:52.163821,1
2022-03-25 20:14:04.182130,0
2022-03-25 20:14:16.215704,0
2022-03-25 20:14:28.249459,0
2022-03-25 20:14:40.267471,2
2022-03-25 20:14:52.300871,0
2022-03-25 20:15:04.319068,0
2022-03-25 20:15:16.353010,1
2022-03-25 20:15:28.386654,1
2022-03-25 20:15:40.404765,0
2022-03-25 20:15:52.422859,2
2022-03-25 20:16:04.456797,0
2022-03-25 20:16:16.474960,1
2022-03-25 20:16:28.508229,0
2022-03-25 20:16:40.526513,2
2022-03-25 20:16:52.560023,2
2022-03-25 20:17:04.593767,0
2022-03-25 20:17:16.612031,1
2022-03-25 20:17:28.645212,1
2022-03-25 20:17:40.663423,0
2022-03-25 20:17:52.696982,0
2022-03-25 20:18:04.715203,2
2022-03-25 20:18:16.748868,0
2022-03-25 20:18:28.766742,1
2022-03-25 20:18:40.800304,1
2022-03-25 20:18:52.818154,1
2022-03-25 20:19:04.851649,0
2022-03-25 20:19:16.885424,0
2022-03-25 20:19:28.903464,0
2022-03-25 20:19:40.937077,0
2022-03-25 20:19:52.954975,1
2022-03-25 20:20:04.988629,2
2022-03-25 20:20:17.006745,1
2022-03-25 20:20:29.040013,2
2022-03-25 20:20:41.073539,0
2022-03-25 20:20:53.091960,0
2022-03-25 20:21:05.125378,1
2022-03-25 20:21:17.143646,0
2022-03-25 20:21:29.177406,2
2022-03-25 20:21:41.210764,0
2022-03-25 20:21:53.228725,0
2022-03-25 20:22:05.262257,1
2022-03-25 20:22:17.280500,2
2022-03-25 20:22:29.314241,2
2022-03-25 20:22:41.347694,0
2022-03-25 20:22:53.366321,1
2022-03-25 20:23:05.399742,2
2022-03-25 20:23:17.417790,1
2022-03-25 20:23:29.451038,0
2022-03-25 20:23:41.469471,0
2022-03-25 20:23:53.502743,1
2022-03-25 20:24:05.521253,1
2022-03-25 20:24:17.554655,1
2022-03-25 20:24:29.588110,1
2022-03-25 20:24:41.606282,1
