Labels,Scientific name,Common name
2172,Synallaxis frontalis,Sooty-fronted Spinetail
2173,Synallaxis gujanensis,Plain-crowned Spinetail
2174,Synallaxis ruficapilla,Rufous-capped Spinetail
2175,Synallaxis spixi,Spix's Spinetail
2176,Synallaxis unirufa,Rufous Spinetail
2177,Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner
2178,Syndactyla subalaris,Lineated Foliage-gleaner
2179,Synoicus ypsilophorus,Brown Quail
2180,Syrigma sibilatrix,Whistling Heron
2181,Systellura longirostris,Band-winged Nightjar
2182,Tachuris rubrigastra,Many-colored Rush Tyrant
2183,Tachybaptus dominicus,Least Grebe
2184,Tachybaptus ruficollis,Little Grebe
2185,Tachycineta bicolor,Tree Swallow
2186,Tachycineta thalassina,Violet-green Swallow
2187,Tachyphonus coronatus,Ruby-crowned Tanager
2188,Tachyphonus delatrii,Tawny-crested Tanager
2189,Tachyphonus rufus,White-lined Tanager
2190,Tadorna ferruginea,Ruddy Shelduck
2191,Tadorna tadorna,Common Shelduck
2192,Taenioptynx brodiei,Collared Owlet
2193,Tamias striatus,Eastern Chipmunk
2194,Tamiasciurus hudsonicus,Red Squirrel
2195,Tangara arthus,Golden Tanager
2196,Tangara chilensis,Paradise Tanager
2197,Tangara gyrola,Bay-headed Tanager
2198,Tapera naevia,Striped Cuckoo
2199,Taraba major,Great Antshrike
2200,Tarphonomus certhioides,Chaco Earthcreeper
2201,Tarsiger cyanurus,Red-flanked Bluetail
2202,Tchagra australis,Brown-crowned Tchagra
2203,Tchagra senegalus,Black-crowned Tchagra
2204,Telophorus sulfureopectus,Sulphur-breasted Bushshrike
2205,Telophorus zeylonus,Bokmakierie
2206,Tephrodornis pondicerianus,Common Woodshrike
2207,Terenotriccus erythrurus,Ruddy-tailed Flycatcher
2208,Terenura maculata,Streak-capped Antwren
2209,Terpsiphone paradisi,Indian Paradise-Flycatcher
2210,Terpsiphone viridis,African Paradise-Flycatcher
2211,Tersina viridis,Swallow Tanager
2212,Thalasseus bergii,Great Crested Tern
2213,Thalasseus elegans,Elegant Tern
2214,Thalasseus maximus,Royal Tern
2215,Thalasseus sandvicensis,Sandwich Tern
2216,Thalurania glaucopis,Violet-capped Woodnymph
2217,Thamnistes anabatinus,Russet Antshrike
2218,Thamnomanes ardesiacus,Dusky-throated Antshrike
2219,Thamnomanes caesius,Cinereous Antshrike
2220,Thamnophilus atrinucha,Black-crowned Antshrike
2221,Thamnophilus bridgesi,Black-hooded Antshrike
2222,Thamnophilus caerulescens,Variable Antshrike
2223,Thamnophilus doliatus,Barred Antshrike
2224,Thamnophilus multistriatus,Bar-crested Antshrike
2225,Thamnophilus murinus,Mouse-colored Antshrike
2226,Thamnophilus palliatus,Chestnut-backed Antshrike
2227,Thamnophilus ruficapillus,Rufous-capped Antshrike
2228,Thamnophilus schistaceus,Plain-winged Antshrike
2229,Thectocercus acuticaudatus,Blue-crowned Parakeet
2230,Theristicus caerulescens,Plumbeous Ibis
2231,Theristicus caudatus,Buff-necked Ibis
2232,Theristicus melanopis,Black-faced Ibis
2233,Thlypopsis sordida,Orange-headed Tanager
2234,Thlypopsis superciliaris,Superciliaried Hemispingus
2235,Thraupis abbas,Yellow-winged Tanager
2236,Thraupis episcopus,Blue-gray Tanager
2237,Thraupis palmarum,Palm Tanager
2238,Thraupis sayaca,Sayaca Tanager
2239,Thryomanes bewickii,Bewick's Wren
2240,Thryophilus pleurostictus,Banded Wren
2241,Thryophilus rufalbus,Rufous-and-white Wren
2242,Thryophilus sinaloa,Sinaloa Wren
2243,Thryothorus ludovicianus,Carolina Wren
2244,Tiaris olivaceus,Yellow-faced Grassquit
2245,Tigrisoma lineatum,Rufescent Tiger-Heron
2246,Tinamus major,Great Tinamou
2247,Tityra cayana,Black-tailed Tityra
2248,Tityra semifasciata,Masked Tityra
2249,Todiramphus chloris,Collared Kingfisher
2250,Todiramphus sanctus,Sacred Kingfisher
2251,Todirostrum chrysocrotaphum,Yellow-browed Tody-Flycatcher
2252,Todirostrum cinereum,Common Tody-Flycatcher
2253,Todirostrum maculatum,Spotted Tody-Flycatcher
2254,Todirostrum poliocephalum,Gray-headed Tody-Flycatcher
2255,Tolmomyias assimilis,Yellow-margined Flycatcher
2256,Tolmomyias flaviventris,Yellow-breasted Flycatcher
2257,Tolmomyias poliocephalus,Gray-crowned Flycatcher
2258,Tolmomyias sulphurescens,Yellow-olive Flycatcher
2259,Toxostoma bendirei,Bendire's Thrasher
2260,Toxostoma crissale,Crissal Thrasher
2261,Toxostoma curvirostre,Curve-billed Thrasher
2262,Toxostoma lecontei,LeConte's Thrasher
2263,Toxostoma longirostre,Long-billed Thrasher
2264,Toxostoma redivivum,California Thrasher
2265,Toxostoma rufum,Brown Thrasher
2266,Trachyphonus darnaudii,D'Arnaud's Barbet
2267,Trachyphonus vaillantii,Crested Barbet
2268,Trichoglossus moluccanus,Rainbow Lorikeet
2269,Trichothraupis melanops,Black-goggled Tanager
2270,Tringa brevipes,Gray-tailed Tattler
2271,Tringa erythropus,Spotted Redshank
2272,Tringa flavipes,Lesser Yellowlegs
2273,Tringa glareola,Wood Sandpiper
2274,Tringa incana,Wandering Tattler
2275,Tringa melanoleuca,Greater Yellowlegs
2276,Tringa nebularia,Common Greenshank
2277,Tringa ochropus,Green Sandpiper
2278,Tringa semipalmata,Willet
2279,Tringa solitaria,Solitary Sandpiper
2280,Tringa stagnatilis,Marsh Sandpiper
2281,Tringa totanus,Common Redshank
2282,Trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush
2283,Trochalopteron lineatum,Streaked Laughingthrush
2284,Trochalopteron morrisonianum,White-whiskered Laughingthrush
2285,Troglodytes aedon,House Wren
2286,Troglodytes hiemalis,Winter Wren
2287,Troglodytes ochraceus,Ochraceous Wren
2288,Troglodytes pacificus,Pacific Wren
2289,Troglodytes rufociliatus,Rufous-browed Wren
2290,Troglodytes solstitialis,Mountain Wren
2291,Troglodytes troglodytes,Eurasian Wren
2292,Trogon caligatus,Gartered Trogon
2293,Trogon chionurus,White-tailed Trogon
2294,Trogon collaris,Collared Trogon
2295,Trogon curucui,Blue-crowned Trogon
2296,Trogon elegans,Elegant Trogon
2297,Trogon massena,Slaty-tailed Trogon
2298,Trogon melanocephalus,Black-headed Trogon
2299,Trogon melanurus,Black-tailed Trogon
2300,Trogon mexicanus,Mountain Trogon
2301,Trogon personatus,Masked Trogon
2302,Trogon ramonianus,Amazonian Trogon
2303,Trogon rufus,Black-throated Trogon
2304,Trogon surrucura,Surucua Trogon
2305,Trogon viridis,Green-backed Trogon
2306,Tunchiornis ochraceiceps,Tawny-crowned Greenlet
2307,Turdoides jardineii,Arrow-marked Babbler
2308,Turdus albicollis,White-necked Thrush
2309,Turdus amaurochalinus,Creamy-bellied Thrush
2310,Turdus assimilis,White-throated Thrush
2311,Turdus chiguanco,Chiguanco Thrush
2312,Turdus eunomus,Dusky Thrush
2313,Turdus falcklandii,Austral Thrush
2314,Turdus flavipes,Yellow-legged Thrush
2315,Turdus fumigatus,Cocoa Thrush
2316,Turdus fuscater,Great Thrush
2317,Turdus grayi,Clay-colored Thrush
2318,Turdus hortulorum,Gray-backed Thrush
2319,Turdus ignobilis,Black-billed Thrush
2320,Turdus iliacus,Redwing
2321,Turdus leucomelas,Pale-breasted Thrush
2322,Turdus libonyana,Kurrichane Thrush
2323,Turdus merula,Eurasian Blackbird
2324,Turdus migratorius,American Robin
2325,Turdus nudigenis,Spectacled Thrush
2326,Turdus obscurus,Eyebrowed Thrush
2327,Turdus pallidus,Pale Thrush
2328,Turdus pelios,African Thrush
2329,Turdus philomelos,Song Thrush
2330,Turdus pilaris,Fieldfare
2331,Turdus plebejus,Mountain Thrush
2332,Turdus plumbeus,Red-legged Thrush
2333,Turdus rufiventris,Rufous-bellied Thrush
2334,Turdus rufopalliatus,Rufous-backed Robin
2335,Turdus serranus,Glossy-black Thrush
2336,Turdus simillimus,Indian Blackbird
2337,Turdus torquatus,Ring Ouzel
2338,Turdus viscivorus,Mistle Thrush
2339,Turtur chalcospilos,Emerald-spotted Wood-Dove
2340,Turtur tympanistria,Tambourine Dove
2341,Tympanuchus cupido,Greater Prairie-Chicken
2342,Tympanuchus phasianellus,Sharp-tailed Grouse
2343,Tyranneutes stolzmanni,Dwarf Tyrant-Manakin
2344,Tyrannulus elatus,Yellow-crowned Tyrannulet
2345,Tyrannus couchii,Couch's Kingbird
2346,Tyrannus crassirostris,Thick-billed Kingbird
2347,Tyrannus dominicensis,Gray Kingbird
2348,Tyrannus forficatus,Scissor-tailed Flycatcher
2349,Tyrannus melancholicus,Tropical Kingbird
2350,Tyrannus savana,Fork-tailed Flycatcher
2351,Tyrannus tyrannus,Eastern Kingbird
2352,Tyrannus verticalis,Western Kingbird
2353,Tyrannus vociferans,Cassin's Kingbird
2354,Tyto alba,Barn Owl
2355,Upucerthia dumetaria,Scale-throated Earthcreeper
2356,Upupa epops,Eurasian Hoopoe
2357,Uraeginthus bengalus,Red-cheeked Cordonbleu
2358,Uria aalge,Common Murre
2359,Urocissa erythroryncha,Red-billed Blue-Magpie
2360,Uropsila leucogastra,White-bellied Wren
2361,Urosphena squameiceps,Asian Stubtail
2362,Vanellus armatus,Blacksmith Lapwing
2363,Vanellus chilensis,Southern Lapwing
2364,Vanellus coronatus,Crowned Lapwing
2365,Vanellus indicus,Red-wattled Lapwing
2366,Vanellus malabaricus,Yellow-wattled Lapwing
2367,Vanellus miles,Masked Lapwing
2368,Vanellus resplendens,Andean Lapwing
2369,Vanellus spinosus,Spur-winged Lapwing
2370,Vanellus vanellus,Northern Lapwing
2371,Vermivora chrysoptera,Golden-winged Warbler
2372,Vermivora cyanoptera,Blue-winged Warbler
2373,Vidua macroura,Pin-tailed Whydah
2374,Vireo altiloquus,Black-whiskered Vireo
2375,Vireo atricapilla,Black-capped Vireo
2376,Vireo bellii,Bell's Vireo
2377,Vireo cassinii,Cassin's Vireo
2378,Vireo chivi,Chivi Vireo
2379,Vireo crassirostris,Thick-billed Vireo
2380,Vireo flavifrons,Yellow-throated Vireo
2381,Vireo flavoviridis,Yellow-green Vireo
2382,Vireo gilvus,Warbling Vireo
2383,Vireo griseus,White-eyed Vireo
2384,Vireo gundlachii,Cuban Vireo
2385,Vireo huttoni,Hutton's Vireo
2386,Vireo hypochryseus,Golden Vireo
2387,Vireo leucophrys,Brown-capped Vireo
2388,Vireo olivaceus,Red-eyed Vireo
2389,Vireo pallens,Mangrove Vireo
2390,Vireo philadelphicus,Philadelphia Vireo
2391,Vireo plumbeus,Plumbeous Vireo
2392,Vireo solitarius,Blue-headed Vireo
2393,Vireo vicinior,Gray Vireo
2394,Vireolanius leucotis,Slaty-capped Shrike-Vireo
2395,Vireolanius pulchellus,Green Shrike-Vireo
2396,Volatinia jacarina,Blue-black Grassquit
2397,Xanthocephalus xanthocephalus,Yellow-headed Blackbird
2398,Xenops minutus,Plain Xenops
2399,Xenops rutilans,Streaked Xenops
2400,Xenus cinereus,Terek Sandpiper
2401,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper
2402,Xiphorhynchus erythropygius,Spotted Woodcreeper
2403,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper
2404,Xiphorhynchus fuscus,Lesser Woodcreeper
2405,Xiphorhynchus guttatus,Buff-throated Woodcreeper
2406,Xiphorhynchus lachrymosus,Black-striped Woodcreeper
2407,Xiphorhynchus susurrans,Cocoa Woodcreeper
2408,Yuhina flavicollis,Whiskered Yuhina
2409,Yuhina gularis,Stripe-throated Yuhina
2410,Zapornia flavirostra,Black Crake
2411,Zapornia fusca,Ruddy-breasted Crake
2412,Zapornia parva,Little Crake
2413,Zapornia pusilla,Baillon's Crake
2414,Zapornia tabuensis,Spotless Crake
2415,Zenaida asiatica,White-winged Dove
2416,Zenaida auriculata,Eared Dove
2417,Zenaida macroura,Mourning Dove
2418,Zenaida meloda,West Peruvian Dove
2419,Zentrygon frenata,White-throated Quail-Dove
2420,Zimmerius chrysops,Golden-faced Tyrannulet
2421,Zimmerius parvus,Mistletoe Tyrannulet
2422,Zonotrichia albicollis,White-throated Sparrow
2423,Zonotrichia atricapilla,Golden-crowned Sparrow
2424,Zonotrichia capensis,Rufous-collared Sparrow
2425,Zonotrichia leucophrys,White-crowned Sparrow
2426,Zonotrichia querula,Harris's Sparrow
2427,Zoothera aurea,White's Thrush
2428,Zosterops japonicus,Warbling White-eye
2429,Zosterops lateralis,Silvereye
2430,Zosterops palpebrosus,Indian White-eye
2431,Zosterops simplex,Swinhoe's White-eye
2432,Zosterops virens,Cape White-eye
