dateTime,source,energy,distance
2022-03-25 20:08:22.150212,3,0,63
2022-03-25 20:08:22.245774,3,0,63
2022-03-25 20:08:22.325989,3,0,63
2022-03-25 20:08:22.421476,3,0,63
2022-03-25 20:08:22.501499,3,0,63
2022-03-25 20:08:22.597014,3,0,63
2022-03-25 20:08:22.677091,3,0,63
2022-03-25 20:08:22.772630,3,0,63
2022-03-25 20:08:22.852746,3,0,63
2022-03-25 20:08:22.948279,3,0,63
2022-03-25 20:08:23.028394,3,0,63
2022-03-25 20:08:23.123946,3,0,63
2022-03-25 20:08:23.203976,3,0,63
2022-03-25 20:08:23.299527,3,0,63
2022-03-25 20:08:23.379583,3,0,63
2022-03-25 20:08:23.459643,3,0,63
2022-03-25 20:08:23.555232,3,0,63
2022-03-25 20:08:23.635304,3,0,63
2022-03-25 20:08:23.730851,3,0,63
2022-03-25 20:08:23.810915,3,0,63
2022-03-25 20:08:23.906522,3,0,63
2022-03-25 20:08:23.986584,3,0,63
2022-03-25 20:08:24.082122,3,0,63
2022-03-25 20:08:24.162161,3,0,63
2022-03-25 20:08:24.257696,3,0,63
2022-03-25 20:08:24.337733,3,0,63
2022-03-25 20:08:24.433348,3,0,63
2022-03-25 20:08:24.513348,3,0,63
2022-03-25 20:08:24.608928,3,0,63
2022-03-25 20:08:24.689031,3,0,63
2022-03-25 20:08:24.784529,3,0,63
2022-03-25 20:08:24.864622,3,0,63
2022-03-25 20:08:24.960191,3,0,63
2022-03-25 20:08:25.040277,3,0,63
2022-03-25 20:08:25.135824,3,0,63
2022-03-25 20:08:25.215882,3,0,63
2022-03-25 20:08:25.311457,3,0,63
2022-03-25 20:08:25.391483,3,0,63
2022-03-25 20:08:25.487046,3,0,63
2022-03-25 20:08:25.567200,3,0,63
2022-03-25 20:08:25.647247,3,0,63
2022-03-25 20:08:25.742786,3,0,63
2022-03-25 20:08:25.822891,3,0,63
2022-03-25 20:08:25.918424,3,0,63
2022-03-25 20:08:25.998444,3,0,63
2022-03-25 20:08:26.094017,3,0,63
2022-03-25 20:08:26.174057,3,0,63
2022-03-25 20:08:26.269615,3,0,63
2022-03-25 20:08:26.349700,3,0,63
2022-03-25 20:08:26.445301,3,0,63
2022-03-25 20:08:26.525421,3,0,63
2022-03-25 20:08:26.620826,3,0,63
2022-03-25 20:08:26.700944,3,0,63
2022-03-25 20:08:26.796473,3,0,63
2022-03-25 20:08:26.876560,3,0,63
2022-03-25 20:08:26.972126,3,0,63
2022-03-25 20:08:27.052146,3,0,63
2022-03-25 20:08:27.147741,3,0,63
2022-03-25 20:08:27.227815,3,0,63
2022-03-25 20:08:27.323339,3,0,63
2022-03-25 20:08:27.403435,3,0,63
2022-03-25 20:08:27.483476,3,0,63
2022-03-25 20:08:27.579056,3,0,63
2022-03-25 20:08:27.659140,3,0,63
2022-03-25 20:08:27.754740,3,0,63
2022-03-25 20:08:27.834775,3,0,63
2022-03-25 20:08:27.930279,3,0,63
2022-03-25 20:08:28.010730,3,0,63
2022-03-25 20:08:28.105928,3,0,63
2022-03-25 20:08:28.185994,3,0,63
2022-03-25 20:08:28.281516,3,0,63
2022-03-25 20:08:28.361599,3,0,63
2022-03-25 20:08:28.457276,3,0,63
2022-03-25 20:08:28.537290,3,0,63
2022-03-25 20:08:28.632829,3,0,63
2022-03-25 20:08:28.712895,3,0,63
2022-03-25 20:08:28.808441,3,0,63
2022-03-25 20:08:28.888504,3,0,63
2022-03-25 20:08:28.984109,3,0,63
2022-03-25 20:08:29.064068,3,0,63
2022-03-25 20:08:29.159693,3,0,63
2022-03-25 20:08:29.239753,3,0,63
2022-03-25 20:08:29.335331,3,0,63
2022-03-25 20:08:29.415383,3,0,63
2022-03-25 20:08:29.510902,3,0,63
2022-03-25 20:08:29.590999,3,0,63
2022-03-25 20:08:29.671159,3,0,63
2022-03-25 20:08:29.766646,3,0,63
2022-03-25 20:08:29.846762,3,0,63
2022-03-25 20:08:29.942226,3,0,63
