dateTime,lightLevel
2022-03-25 20:10:15.347209,744
2022-03-25 20:10:27.364997,745
2022-03-25 20:10:39.382800,744
2022-03-25 20:10:51.415704,742
2022-03-25 20:11:03.433396,743
2022-03-25 20:11:15.451269,743
2022-03-25 20:11:27.468776,742
2022-03-25 20:11:39.501452,742
2022-03-25 20:11:51.519177,742
2022-03-25 20:12:03.537098,745
2022-03-25 20:12:15.554750,743
2022-03-25 20:12:27.572364,743
2022-03-25 20:12:39.590059,744
2022-03-25 20:12:51.622620,742
2022-03-25 20:13:03.640232,741
2022-03-25 20:13:15.658075,743
2022-03-25 20:13:27.675879,744
2022-03-25 20:13:39.693590,742
2022-03-25 20:13:51.726247,743
2022-03-25 20:14:03.743981,743
2022-03-25 20:14:15.761424,741
2022-03-25 20:14:27.779315,743
2022-03-25 20:14:39.812155,743
2022-03-25 20:14:51.829972,745
2022-03-25 20:15:03.847829,743
2022-03-25 20:15:15.865619,743
2022-03-25 20:15:27.898662,743
2022-03-25 20:15:39.916236,745
2022-03-25 20:15:51.933914,743
2022-03-25 20:16:03.951745,744
2022-03-25 20:16:15.984416,743
2022-03-25 20:16:28.002092,743
2022-03-25 20:16:40.019793,743
2022-03-25 20:16:52.053003,744
2022-03-25 20:17:04.070948,742
2022-03-25 20:17:16.088455,743
2022-03-25 20:17:28.106410,746
2022-03-25 20:17:40.139313,743
2022-03-25 20:17:52.156892,742
2022-03-25 20:18:04.174674,744
2022-03-25 20:18:16.207603,744
2022-03-25 20:18:28.225216,745
2022-03-25 20:18:40.242837,742
2022-03-25 20:18:52.260526,743
2022-03-25 20:19:04.278172,743
2022-03-25 20:19:16.310981,742
2022-03-25 20:19:28.328732,743
2022-03-25 20:19:40.346557,743
2022-03-25 20:19:52.379358,743
2022-03-25 20:20:04.397307,743
2022-03-25 20:20:16.414948,742
2022-03-25 20:20:28.432766,742
2022-03-25 20:20:40.465405,746
2022-03-25 20:20:52.483189,746
2022-03-25 20:21:04.500833,743
2022-03-25 20:21:16.518381,743
2022-03-25 20:21:28.536196,742
2022-03-25 20:21:40.553722,744
2022-03-25 20:21:52.586543,745
2022-03-25 20:22:04.604241,743
2022-03-25 20:22:16.621993,742
2022-03-25 20:22:28.639791,744
2022-03-25 20:22:40.672705,746
2022-03-25 20:22:52.690419,743
2022-03-25 20:23:04.708039,742
2022-03-25 20:23:16.740988,743
2022-03-25 20:23:28.758722,743
2022-03-25 20:23:40.776501,746
2022-03-25 20:23:52.809457,743
2022-03-25 20:24:04.827434,744
2022-03-25 20:24:16.845143,742
2022-03-25 20:24:28.877919,743
2022-03-25 20:24:40.895625,744
2022-03-25 20:24:52.913287,743
2022-03-25 20:25:04.930987,744
2022-03-25 20:25:16.963897,746
2022-03-25 20:25:28.981427,745
2022-03-25 20:25:40.998973,745
2022-03-25 20:25:53.016763,743
2022-03-25 20:26:05.034281,744
2022-03-25 20:26:17.067298,743
2022-03-25 20:26:29.085204,743
2022-03-25 20:26:41.102861,743
2022-03-25 20:26:53.135941,742
2022-03-25 20:27:05.153998,742
2022-03-25 20:27:17.186583,744
2022-03-25 20:27:29.204349,742
2022-03-25 20:27:41.222117,746
2022-03-25 20:27:53.239874,744
2022-03-25 20:28:05.272707,743
2022-03-25 20:28:17.290626,745
2022-03-25 20:28:29.308368,743
2022-03-25 20:28:41.341303,745
2022-03-25 20:28:53.359380,744
2022-03-25 20:29:05.376860,742
2022-03-25 20:29:17.394656,745
2022-03-25 20:29:29.427406,744
2022-03-25 20:29:41.445036,744
2022-03-25 20:29:53.462875,743
2022-03-25 20:30:05.480560,743
2022-03-25 20:30:17.498168,742
2022-03-25 20:30:29.530973,744
2022-03-25 20:30:41.548588,744
2022-03-25 20:30:53.566349,744
2022-03-25 20:31:05.584099,742
2022-03-25 20:31:17.601827,743
2022-03-25 20:31:29.619528,743
2022-03-25 20:31:41.652200,743
2022-03-25 20:31:53.669811,743
